Date,ES_Close,NQ_Close,ES_Daily_Return,ES_5D_Fwd_Return,ES_20D_Fwd_Return,ES_60D_Fwd_Return,ES_Realized_Vol_20D,ES_Fwd_Max_DD_60D,ES_Fwd_Max_Upside_60D,ES_Fwd_Sharpe_60D,walcl_3m_pct,liquidity_contraction,liquidity_expansion,HY_OAS,hy_oas_zscore,hy_oas_percentile,credit_regime,VIX,volatility_regime,spx_pos_percentile,Liquidity_State,Liquidity_Status,Credit_State,Credit_Status,Positioning_State,Positioning_Status,Volatility_State,Volatility_Status,Destabilization_Score,Macro_Regime
2010-03-30,1169.5,1965.5,0.000641505421337044,0.008123129542539465,0.01752885848653274,-0.08465156049593847,0.07430651973865117,-0.10389055151774262,0.03655408294142792,-1.4916454550291824,,False,False,20.104381287808376,-1.3854261997266395,0.49132176234979974,Tight,17.77,Normal,,Flat,Normal,Tight,Normal,Neutral,Normal,Normal,Normal,0,A
2010-03-31,1165.25,1955.75,-0.0036406507713833943,0.01587642136880496,0.03432739755417291,-0.07766573696631629,0.07711405676181493,-0.10062218408066936,0.04033469212615315,-1.362308277429659,0.03214148947973072,False,False,20.21285382686026,-1.2529505376333268,0.5106666666666667,Neutral,17.77,Normal,,Flat,Normal,Neutral,Normal,Neutral,Normal,Normal,Normal,0,A
2010-04-01,1173.75,1952.0,0.007268095269622324,0.015974440894568787,0.008306709265175627,-0.08753993610223643,0.0792179173959391,-0.10713525026624071,0.03280085197018101,-1.5474852555398555,0.03214148947973072,False,False,20.349361729171722,-1.0766992423002233,0.5299600532623169,Neutral,17.77,Normal,,Flat,Normal,Neutral,Normal,Neutral,Normal,Normal,Normal,0,A
2010-04-05,1183.0,1973.5,0.007849833455914133,0.008030431107354241,0.013102282333051551,-0.12489433643279801,0.07245559015897407,-0.12489433643279801,0.024725274725274637,-2.1841772032737636,0.03214148947973072,False,False,20.087970012777422,-1.3832087939031084,0.48271276595744683,Tight,17.77,Normal,,Flat,Normal,Tight,Normal,Neutral,Normal,Normal,Normal,0,A
2010-04-06,1185.75,1978.75,0.0023219007793042535,0.006114273666455894,-0.011174362218005496,-0.13430318363904703,0.07222398711631327,-0.13430318363904703,0.02234872443601099,-2.359881342222555,0.03214148947973072,False,False,19.964853232674717,-1.51857417051828,0.4448871181938911,Tight,17.77,Normal,,Flat,Normal,Tight,Normal,Neutral,Normal,Normal,Normal,0,A
2010-04-07,1179.0,1975.0,-0.005708864220320204,0.023324851569126448,-0.012722646310432517,-0.1333757421543681,0.07720843727859542,-0.1333757421543681,0.028201865988125574,-2.3428126011281987,0.006927171968407642,False,False,20.07180889574794,-1.3720963014470946,0.47877984084880637,Tight,17.77,Normal,,Flat,Normal,Tight,Normal,Neutral,Normal,Normal,Normal,0,A
2010-04-08,1183.75,1980.0,0.004020743962916984,0.020908130939810032,-0.05174234424498414,-0.14318901795142558,0.07694654906805669,-0.14318901795142558,0.024076029567053903,-2.5307027236466633,0.006927171968407642,False,False,19.96386470401964,-1.48975173157049,0.44370860927152317,Tight,17.77,Normal,,Flat,Normal,Tight,Normal,Neutral,Normal,Normal,Normal,0,A
2010-04-09,1192.5,1992.0,0.007364578262208295,-0.0018867924528301883,-0.07169811320754715,-0.14109014675052411,0.07916145856488196,-0.149475890985325,0.01656184486373169,-2.4862393592132053,0.006927171968407642,False,False,19.939663645031473,-1.5035108651144307,0.44047619047619047,Tight,16.14,Normal,,Flat,Normal,Tight,Normal,Neutral,Normal,Normal,Normal,0,A
2010-04-12,1192.5,1992.5,0.0,0.002515723270440251,-0.030188679245283012,-0.11174004192872122,0.07931968917463349,-0.149475890985325,0.01656184486373169,-1.8613941813371808,0.006927171968407642,False,False,20.01836115635272,-1.390307498580608,0.45970937912813736,Tight,16.14,Normal,,Flat,Normal,Tight,Normal,Neutral,Normal,Normal,Normal,0,A
2010-04-13,1193.0,2001.25,0.0004191993354199049,0.010477787091366375,-0.034157585917854116,-0.10561609388097237,0.07888396612091858,-0.14983235540653816,0.01613579212070415,-1.7493212409238068,0.006927171968407642,False,False,20.044915811378228,-1.3418455883134246,0.470976253298153,Tight,16.14,Normal,,Flat,Normal,Tight,Normal,Neutral,Normal,Normal,Normal,0,A
